"gene"	"pool8"	"pool7"	"pool9"	"pool10"	"pool11"	"pool12"	"pool1"	"pool2"	"pool3"	"pool4"	"pool5"
"SNX5"	"0.0110722610722611"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXD11"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SIN3B"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MLNR"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CARD17"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FJX1"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C1QTNF7"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCBP4"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CREG2"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PPY"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FADS2"	"0.0174825174825175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EID3"	NA	"0.00108225108225108"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NF1"	NA	"0.00108225108225108"	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"ZFP90"	NA	"0.0619810083499518"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RNPEPL1"	NA	"0.0829456403527493"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EP300"	NA	"0.0829456403527493"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GAN"	NA	NA	"0.0170471465962952"	NA	NA	NA	NA	NA	NA	NA	NA
"GNB1L"	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA	NA	NA	NA
"OXSM"	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA	NA	NA	NA
"KIAA0141"	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA	NA	NA	NA
"RBM7"	NA	NA	"0.0411255411255411"	NA	NA	NA	NA	NA	NA	NA	NA
"EDC4"	NA	NA	"0.0627705627705628"	NA	NA	NA	NA	NA	NA	NA	NA
"FMO5"	NA	NA	"0.0627705627705628"	NA	NA	NA	NA	NA	NA	NA	NA
"APOBEC1"	NA	NA	"0.0627705627705628"	NA	NA	NA	NA	NA	NA	NA	NA
"SOCS6"	NA	NA	"0.075481159880126"	NA	NA	NA	NA	NA	NA	NA	NA
"HSPA8"	NA	NA	"0.081707215893331"	NA	NA	NA	NA	NA	NA	NA	NA
"TBP"	NA	NA	"0.081707215893331"	NA	NA	NA	NA	NA	NA	NA	NA
"TUBD1"	NA	NA	"0.0834970589630927"	NA	NA	NA	NA	NA	NA	NA	NA
"C22orf42"	NA	NA	"0.0846445308351945"	NA	NA	NA	NA	NA	NA	NA	NA
"SEMA4G"	NA	NA	"0.0954206364804796"	NA	NA	NA	NA	NA	NA	NA	NA
"BPTF"	NA	NA	NA	"0.0304282250239509"	NA	NA	NA	NA	NA	NA	NA
"SGSM2"	NA	NA	NA	"0.0318346962920398"	NA	NA	NA	NA	NA	NA	NA
"RASL12"	NA	NA	NA	"0.0318346962920398"	NA	NA	NA	NA	NA	NA	NA
"CACNA2D1"	NA	NA	NA	"0.0434913118716677"	NA	NA	NA	NA	NA	NA	NA
"MAP3K14"	NA	NA	NA	"0.0460625518458546"	NA	NA	NA	NA	NA	NA	NA
"EMP3"	NA	NA	NA	"0.0627651351317076"	NA	NA	NA	NA	NA	NA	NA
"NME1"	NA	NA	NA	"0.066017316017316"	NA	NA	NA	NA	NA	NA	NA
"ARHGAP30"	NA	NA	NA	"0.0790735479133844"	NA	NA	NA	NA	NA	NA	NA
"DBT"	NA	NA	NA	"0.0852329325065497"	NA	NA	NA	NA	NA	NA	NA
"CTSL2"	NA	NA	NA	NA	"0.0281021903842455"	NA	NA	NA	NA	NA	NA
"PPME1"	NA	NA	NA	NA	"0.0370049849931174"	NA	NA	NA	NA	NA	NA
"RNF114"	NA	NA	NA	NA	"0.0452060323500485"	NA	NA	NA	NA	NA	NA
"ZFYVE19"	NA	NA	NA	NA	"0.0515473504563708"	NA	NA	NA	NA	NA	NA
"UBE2I"	NA	NA	NA	NA	"0.0607473063156348"	NA	NA	NA	NA	NA	NA
"FCAMR"	NA	NA	NA	NA	"0.0619810083499518"	NA	NA	NA	NA	NA	NA
"UGGT1"	NA	NA	NA	NA	"0.0619810083499518"	NA	NA	NA	NA	NA	NA
"CHIT1"	NA	NA	NA	NA	"0.0619810083499518"	NA	NA	NA	NA	NA	NA
"UAP1L1"	NA	NA	NA	NA	"0.066017316017316"	NA	NA	NA	NA	NA	NA
"DNTTIP1"	NA	NA	NA	NA	"0.0731271287728108"	NA	NA	NA	NA	NA	NA
"BBS10"	NA	NA	NA	NA	"0.0790735479133844"	NA	NA	NA	NA	NA	NA
"TXN2"	NA	NA	NA	NA	"0.0829456403527493"	NA	NA	NA	NA	NA	NA
"WDR52"	NA	NA	NA	NA	"0.0852329325065497"	NA	NA	NA	NA	NA	NA
"MPST"	NA	NA	NA	NA	"0.0898268398268398"	NA	NA	NA	NA	NA	NA
"DOLK"	NA	NA	NA	NA	"0.0911435878694467"	NA	NA	NA	NA	NA	NA
"DEPDC1"	NA	NA	NA	NA	"0.096112405681199"	NA	NA	NA	NA	NA	NA
"TUBE1"	NA	NA	NA	NA	"0.096112405681199"	NA	NA	NA	NA	NA	NA
"PAGE4"	NA	NA	NA	NA	NA	"0.00194524367134278"	NA	NA	NA	NA	NA
"RIN3"	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA	NA	NA	NA
"TF"	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA	NA	NA	NA
"MOGAT3"	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA	NA	NA	NA
"AKAP17A"	NA	NA	NA	NA	NA	"0.00432900432900433"	NA	NA	NA	NA	NA
"CMKLR1"	NA	NA	NA	NA	NA	"0.00865800865800866"	NA	NA	NA	NA	NA
"TMPRSS2"	NA	NA	NA	NA	NA	"0.0344472101039359"	NA	NA	NA	NA	NA
"ATG7"	NA	NA	NA	NA	NA	"0.041069280554045"	NA	NA	NA	NA	NA
"KIAA1671"	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA	NA	NA	NA
"SPR"	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA	NA	NA	NA
"SLC25A14"	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA	NA	NA	NA
"IL9"	NA	NA	NA	NA	NA	"0.0627705627705628"	NA	NA	NA	NA	NA
"POT1"	NA	NA	NA	NA	NA	"0.0627705627705628"	NA	NA	NA	NA	NA
"FCHSD1"	NA	NA	NA	NA	NA	"0.0627705627705628"	NA	NA	NA	NA	NA
"SGSM1"	NA	NA	NA	NA	NA	"0.081707215893331"	NA	NA	NA	NA	NA
"MEF2A"	NA	NA	NA	NA	NA	"0.081707215893331"	NA	NA	NA	NA	NA
"NUDT17"	NA	NA	NA	NA	NA	"0.081707215893331"	NA	NA	NA	NA	NA
"ADRB3"	NA	NA	NA	NA	NA	"0.081707215893331"	NA	NA	NA	NA	NA
"TRIM54"	NA	NA	NA	NA	NA	"0.0846445308351945"	NA	NA	NA	NA	NA
"PIKFYVE"	NA	NA	NA	NA	NA	"0.0887445887445887"	NA	NA	NA	NA	NA
"NMUR1"	NA	NA	NA	NA	NA	"0.0887445887445887"	NA	NA	NA	NA	NA
"MRPS36"	NA	NA	NA	NA	NA	"0.0887445887445887"	NA	NA	NA	NA	NA
"SYT10"	NA	NA	NA	NA	NA	"0.0887445887445887"	NA	NA	NA	NA	NA
"CUL3"	NA	NA	NA	NA	NA	NA	"0.00396825396825397"	NA	"0.0556051708761884"	NA	NA
"ICA1L"	NA	NA	NA	NA	NA	NA	"0.00396825396825397"	NA	NA	NA	NA
"BCL7A"	NA	NA	NA	NA	NA	NA	"0.0656897094837185"	NA	NA	NA	NA
